f1_ortalama,f1_std,f1_range,f2_ortalama,f2_std,f2_range,f2_entropi,f3_ortalama,f3_std,f1_gecis_yumusakligi,f2_gecis_yumusakligi,f3_gecis_yumusakligi,spektral_merkez_ortalama,spektral_merkez_std,ritmik_duzgunluk_npvi,ortalama_harf_sure_ms,toplam_sure_ms,nazal_oran,nazal_ortalama,tefhim_orani,tefhim_ortalama,harf_sayisi,metin_id,corpus,sure_no,sure_adi
644.957264957265,174.77029579815397,530.0,1232.991452991453,282.2416221259401,1400.0,1.4624763308047701,2460.5982905982905,214.9748170435084,208.5344827586207,294.7758620689655,238.79310344827587,1857.008547008547,1155.3874289769903,75.88552972944353,325.63247863247864,38099.0,0.08547008547008547,0.10811965811965811,0.042735042735042736,0.042735042735042736,117,s091,Qur'an,91,Şems
604.5098039215686,156.07079496541954,530.0,1230.8725490196077,297.5395400176163,1414.0,1.7713908425894822,2425.4901960784314,186.83969983195456,187.62376237623764,318.3960396039604,218.01980198019803,1908.8235294117646,1279.6754292211165,74.6064557163301,310.98039215686276,31720.0,0.13725490196078433,0.17745098039215684,0.06862745098039216,0.06862745098039216,102,s092,Qur'an,92,Leyl
581.3084112149533,155.73212150217827,530.0,1234.0280373831777,339.8724460554826,1400.0,1.5633837843072027,2422.429906542056,176.4702782499046,183.67924528301887,371.39622641509436,197.16981132075472,1679.7196261682243,1026.3258650173436,72.27193825100696,279.8457943925234,29943.5,0.06542056074766354,0.1130841121495327,0.06542056074766354,0.06542056074766354,107,s093,Qur'an,93,Duha
608.7128712871287,138.47588606847322,530.0,1237.9108910891089,255.99598152051428,1414.0,1.624122785832375,2432.2772277227723,175.88745945153246,148.2,243.16,195.8,2013.3663366336634,1313.4455309708028,70.55979822041617,286.0742574257426,28893.5,0.10891089108910891,0.1673267326732673,0.0594059405940594,0.0594059405940594,101,s094,Qur'an,94,Şerh
607.9012345679013,158.91775999843532,530.0,1289.0061728395062,320.30632515953334,1414.0,1.7381229861264202,2450.8024691358023,172.66601742714252,190.12422360248448,344.6832298136646,204.59627329192546,1784.0123456790122,1204.511303944079,71.41198424217292,299.41358024691357,48505.0,0.1728395061728395,0.19845679012345674,0.037037037037037035,0.037037037037037035,162,s095,Qur'an,95,Tin
654.8275862068965,124.23200458472495,530.0,1282.7413793103449,234.99417163314024,1400.0,1.3668260262026066,2481.7241379310344,142.41316690185445,146.0,251.42608695652174,170.95652173913044,1641.1206896551723,1027.4766307869575,80.04765030510782,357.61206896551727,41483.0,0.1724137931034483,0.22758620689655173,0.07758620689655173,0.07758620689655173,116,s096,Qur'an,96,Alak
632.1929824561404,143.58052189117976,530.0,1312.3070175438597,276.2530027523709,1400.0,1.4422308636631602,2478.9473684210525,148.83977268079684,165.84070796460176,281.3628318584071,163.09734513274336,1757.8947368421052,1061.1665822270588,74.99442072218172,297.5570175438597,33921.5,0.14035087719298245,0.18903508771929822,0.043859649122807015,0.043859649122807015,114,s097,Qur'an,97,Kadir
609.5283018867924,161.67392104533437,530.0,1290.877358490566,328.2933916435054,1414.0,1.7273112818288308,2455.2830188679245,171.38012228789762,182.36966824644549,362.8341232227488,199.19431279620852,1633.0188679245282,1063.1673662695846,68.72651356993737,283.1367924528302,60025.0,0.1509433962264151,0.17311320754716983,0.04245283018867924,0.04245283018867924,212,s098,Qur'an,98,Beyyine
625.9235668789809,159.22965593743064,530.0,1289.9872611464968,303.2764601855703,1414.0,1.7415753224908341,2465.668789808917,177.01082728174725,198.9102564102564,334.70512820512823,211.4102564102564,1915.2866242038217,1142.2218601126392,78.19774476116731,331.0668789808917,51977.5,0.10828025477707007,0.14777070063694267,0.06369426751592357,0.06369426751592357,157,s099,Qur'an,99,Zilzal
622.3636363636364,152.046208722141,530.0,1271.8181818181818,288.3401142532951,1414.0,1.716308466900269,2461.181818181818,179.75099857192257,184.58715596330276,304.95412844036696,202.0183486238532,1864.4545454545455,1149.9680520176016,65.15487634541122,279.09090909090907,30700.0,0.10909090909090909,0.15136363636363634,0.05454545454545454,0.05454545454545454,110,s100,Qur'an,100,Adiyat
621.8461538461538,159.06836757234348,530.0,1258.4307692307693,294.8297537031143,1400.0,1.5595210851100516,2448.6153846153848,177.6416178115315,183.7984496124031,324.4031007751938,208.37209302325581,1689.5384615384614,1140.0498380053807,72.64726828772001,304.89230769230767,39636.0,0.16153846153846155,0.18499999999999997,0.046153846153846156,0.046153846153846156,130,s101,Qur'an,101,Karia
602.0491803278688,150.72468944245617,530.0,1277.0901639344263,304.9340429650149,1400.0,1.6151946669061306,2446.55737704918,171.96916656441013,180.9917355371901,331.6528925619835,194.0495867768595,1722.1311475409836,1120.469917159465,69.29083665338645,259.87704918032784,31705.0,0.19672131147540983,0.24385245901639344,0.02459016393442623,0.02459016393442623,122,s102,Qur'an,102,Tekapur
609.0410958904109,167.25146667712167,480.0,1191.986301369863,310.8035759544059,1414.0,1.6671881298672555,2417.8082191780823,205.36800630730409,205.97222222222223,344.72222222222223,244.86111111111111,1855.6164383561643,1247.5993235244027,67.89979917556283,327.63698630136986,23917.5,0.0958904109589041,0.14178082191780822,0.0958904109589041,0.0958904109589041,73,s103,Qur'an,103,Asr
640.4065040650406,150.3783757481656,530.0,1299.878048780488,289.1826324038109,1414.0,1.6953682584806868,2480.8130081300815,169.4063930601509,164.4262295081967,282.2950819672131,181.63934426229508,1725.2032520325204,1093.5831681589111,71.03149748771696,294.4186991869919,36213.5,0.13821138211382114,0.1800813008130081,0.04878048780487805,0.04878048780487805,123,s104,Qur'an,104,Humaza
599.8969072164948,152.7716093703603,530.0,1340.1649484536083,322.513155822527,1414.0,1.6225194588331917,2472.4742268041236,162.49999795613036,186.5625,361.6458333333333,200.72916666666666,1931.0309278350514,1164.862263028112,73.93889686282552,254.58762886597938,24695.0,0.10309278350515463,0.15463917525773196,0.041237113402061855,0.041237113402061855,97,s105,Qur'an,105,Fil
608.1818181818181,164.21183082746262,530.0,1299.4675324675325,329.91110902021813,1414.0,1.7379045390356798,2462.2077922077924,180.50163417343762,197.76315789473685,372.5263157894737,222.6315789473684,1924.935064935065,1170.8944559405295,69.03656741763841,288.47402597402595,22212.5,0.12987012987012986,0.16233766233766236,0.05194805194805195,0.05194805194805195,77,s106,Qur'an,106,Kureyş
592.1238938053098,169.29030063551502,530.0,1344.1238938053098,368.62108834712484,1414.0,1.7358905967544187,2469.646017699115,180.36310084897656,200.0,431.23214285714283,233.03571428571428,1872.1238938053098,1172.6782381101182,68.91278375149344,280.64159292035396,31712.5,0.17699115044247787,0.21327433628318582,0.035398230088495575,0.035398230088495575,113,s107,Qur'an,107,Maun
620.2325581395348,151.818256892951,530.0,1263.5813953488373,283.0378586360998,1414.0,1.6183605440602438,2452.7906976744184,173.9597063930336,175.71428571428572,313.14285714285717,202.14285714285714,1699.0697674418604,1057.3393856883667,76.04131956014662,356.27906976744185,15320.0,0.11627906976744186,0.16046511627906979,0.046511627906976744,0.046511627906976744,43,s108,Qur'an,108,Kevser
635.959595959596,148.14625037045874,530.0,1273.6868686868686,275.8307798642093,1400.0,1.5902359621720448,2464.242424242424,165.30407187961717,157.85714285714286,260.8673469387755,166.9387755102041,1322.020202020202,730.6106202210293,73.84032615325351,316.1969696969697,31303.5,0.18181818181818182,0.205050505050505,0.010101010101010102,0.010101010101010102,99,s109,Qur'an,109,Kafirun
611.125,157.852730020738,530.0,1261.575,280.95545799112006,1414.0,1.7066004860543098,2444.25,181.05782915963619,202.0253164556962,323.1392405063291,233.9240506329114,1932.25,1241.7437084600026,77.02237146221272,291.325,23306.0,0.0875,0.11750000000000001,0.025,0.025,80,s110,Qur'an,110,Nasr
629.746835443038,154.38710744645027,530.0,1291.5696202531647,280.6765192248179,1414.0,1.6504862486380918,2463.9240506329115,179.15708206620928,165.0,312.20512820512823,222.82051282051282,1765.9493670886077,1197.2357603207224,76.06788928123932,279.62025316455697,22090.0,0.13924050632911392,0.15632911392405066,0.02531645569620253,0.02531645569620253,79,s111,Qur'an,111,Mesed
615.9574468085107,158.98159366856314,530.0,1268.1063829787233,320.4223432352431,1414.0,1.68902880703868,2462.553191489362,192.8671473641055,183.47826086956522,360.9347826086956,229.1304347826087,1767.2340425531916,1028.3361941518963,64.00657414170927,236.2127659574468,11102.0,0.10638297872340426,0.16382978723404254,0.0425531914893617,0.0425531914893617,47,s112,Qur'an,112,İhlas
604.3835616438356,139.53922511687819,480.0,1180.2739726027398,242.2340236203142,1400.0,1.4798437957639743,2400.6849315068494,170.99490312938624,182.5,271.4583333333333,215.83333333333334,1915.7534246575342,1330.5132574468007,66.16541353383458,257.1232876712329,18770.0,0.136986301369863,0.16643835616438357,0.0958904109589041,0.0958904109589041,73,s113,Qur'an,113,Felak
606.25,160.63448415580012,530.0,1228.8875,280.0103120310929,1414.0,1.7262972277674327,2416.875,199.92869822764314,169.74683544303798,283.5822784810127,211.39240506329114,2007.5,1452.5,73.4341691198863,309.8125,24785.0,0.15,0.19187500000000002,0.0375,0.0375,80,s114,Qur'an,114,Nas
