f1_ortalama,f1_std,f1_range,f2_ortalama,f2_std,f2_range,f2_entropi,f3_ortalama,f3_std,f1_gecis_yumusakligi,f2_gecis_yumusakligi,f3_gecis_yumusakligi,spektral_merkez_ortalama,spektral_merkez_std,ritmik_duzgunluk_npvi,ortalama_harf_sure_ms,toplam_sure_ms,nazal_oran,nazal_ortalama,tefhim_orani,tefhim_ortalama,harf_sayisi,metin_id,corpus,kategori,yazar
620.9090909090909,147.6762149528824,530.0,1231.1090909090908,290.49779675129264,1414.0,1.5782838621760673,2439.4545454545455,181.3827513280655,183.7037037037037,297.0,190.74074074074073,1585.6363636363637,1029.940446003578,85.41051388068517,313.8181818181818,17260.0,0.16363636363636364,0.21000000000000008,0.07272727272727272,0.07272727272727272,55,hadis_001,Kontrol,hadis,
622.7142857142857,161.1558378763632,530.0,1289.0857142857142,316.9792126062682,1414.0,1.6740166710694566,2470.4285714285716,190.9632403989665,201.15942028985506,363.30434782608694,222.8985507246377,1750.7142857142858,1119.6776595183499,73.46103231466589,248.96428571428572,17427.5,0.15714285714285714,0.21642857142857147,0.04285714285714286,0.04285714285714286,70,hadis_002,Kontrol,hadis,
620.46875,159.53476979466734,530.0,1200.953125,286.43560738451214,1400.0,1.5773644071209656,2441.40625,204.96849748421707,204.44444444444446,332.5079365079365,253.33333333333334,1465.625,866.741157656079,56.540084388185655,280.078125,17925.0,0.1875,0.24375,0.03125,0.03125,64,hadis_003,Kontrol,hadis,
616.7213114754098,153.4277350210511,530.0,1284.5245901639344,286.7879554000428,1414.0,1.6916428119695421,2446.8852459016393,172.76479779193178,185.0,306.46666666666664,197.66666666666666,1975.4098360655737,1292.5265304953703,77.14397598224775,316.4754098360656,19305.0,0.13114754098360656,0.1680327868852459,0.03278688524590164,0.03278688524590164,61,hadis_004,Kontrol,hadis,
610.5555555555555,170.17873683023922,530.0,1314.351851851852,344.5717232980249,1400.0,1.664402660485721,2464.259259259259,174.2773635653901,191.1320754716981,385.188679245283,197.35849056603774,1646.4814814814815,996.06105235946,69.57878315132605,299.6759259259259,16182.5,0.16666666666666666,0.17777777777777778,0.037037037037037035,0.037037037037037035,54,hadis_005,Kontrol,hadis,
643.6842105263158,123.51051633536862,480.0,1296.5263157894738,271.76206087040896,1400.0,1.4700616372646251,2492.6315789473683,150.65967592603704,150.27027027027026,309.8378378378378,196.21621621621622,1716.3157894736842,1001.739069536026,67.5603217158177,298.8157894736842,11355.0,0.18421052631578946,0.27105263157894743,0.07894736842105263,0.07894736842105263,38,hadis_006,Kontrol,hadis,
641.8181818181819,137.21702662823668,530.0,1286.9318181818182,238.78055708568223,1400.0,1.4675893642095854,2462.0454545454545,162.05469819357776,165.34883720930233,222.32558139534885,173.95348837209303,1604.5454545454545,1140.913618245273,79.5146030440148,280.1136363636364,12325.0,0.25,0.26704545454545453,0.022727272727272728,0.022727272727272728,44,hadis_007,Kontrol,hadis,
620.8620689655172,130.40103239963938,530.0,1290.4310344827586,274.71189372523037,1400.0,1.351883234801644,2466.3793103448274,123.03207145464522,152.4561403508772,283.6842105263158,145.78947368421052,1595.5172413793102,1003.5611975803675,70.0680721697178,263.2068965517241,15266.0,0.1724137931034483,0.2120689655172414,0.06896551724137931,0.06896551724137931,58,hadis_008,Kontrol,hadis,
610.5263157894736,151.9859302425384,530.0,1272.2105263157894,319.35102706220925,1400.0,1.4888413010674513,2454.7368421052633,177.3993934121821,183.21428571428572,376.57142857142856,232.5,1632.4561403508771,1014.4781403259207,61.05898123324397,267.4561403508772,15245.0,0.17543859649122806,0.23157894736842108,0.05263157894736842,0.05263157894736842,57,hadis_009,Kontrol,hadis,
623.0232558139535,146.10500976274486,530.0,1287.4651162790697,300.5191127952082,1400.0,1.5954864954531247,2470.4651162790697,171.5450105470606,174.76190476190476,336.14285714285717,204.28571428571428,1772.093023255814,1087.1502284659882,67.30401529636711,246.97674418604652,10620.0,0.20930232558139536,0.25465116279069766,0.06976744186046512,0.06976744186046512,43,hadis_010,Kontrol,hadis,
593.939393939394,154.42835730210507,530.0,1248.2575757575758,299.97157999757957,1400.0,1.580723357386086,2420.0,179.99158229475537,204.6153846153846,326.61538461538464,231.69230769230768,1862.878787878788,1208.73307722354,72.66658107587624,296.8939393939394,19595.0,0.10606060606060606,0.13712121212121214,0.06060606060606061,0.06060606060606061,66,modern_001,Kontrol,modern_arab,Naguib Mahfouz
